item_name,text,type,answers,values,
Instructions1,<span style='color:#006699'><span style='font-size:20px'>In this survey we would like to know how much time you spend on a variety of screen based activities on your phones. Please follow these instructions for Android and Apple phones to help to try to accurately gauge these numbers. If these instructions do not work for your phone then please try to make the best estimate you can with the information you have available to you.</span></span>,instruct,,,
Instructions2,"<span style='font-size:20px'><h4>Android:</h4>
- Go to your settings app<br>
- Select the ""Digital wellbeing and parental controls"" tab<br>
- Click on the ""Dashboard"" option<br>
- This will show you the figures for each app individually<br>
- For each category, please work out the total hours spent by adding together the hours for each relevant app<br>
<br>
<h4>Apple:</h4>
- Go to your settings app <br>
- Select the ""Screen Time"" tab<br>
Click on ""See all activity""<br>
(or you might need to select the summary of the different activities  to open the more comprehensive list)<br>
 if you are seeing the summary for today, you might need to change this to ""Last 7 Days""<br>
Then select categories under the ""Most used"" tab<br>
For each category, it will show you the amount of time in hours you have spent doing those activities in the week<br>",instruct,,,
instruction_timings,"For the below questions you'll be asked to say how many hours and minutes you spend on each activity

<b style=""color:red""><u>for the last 7 days</u></b>. For example, if you spent 90 minutes during the week on games, you would write 1 in the ""hour"" input, and 30 in the ""minutes"" input",instruct,,,
screen_overall_hrs,Screen time (overall; hours),number,,,
screen_overall_mins,Screen time (overall; minutes),number,,,
screen_social_hrs,"Social (Instagram, Snapchat, Facebook, Text Messages and Whatsapp; hours)",number,,,
screen_social_mins,"Social (Instagram, Snapchat, Facebook, Text Messages and Whatsapp; minutes)",number,,,
screen_video_hrs,"Video/Streaming Entertainment (Youtube, Netflix and other  Streaming sites; hours)",number,,,
screen_video_mins,"Video/Streaming Entertainment (Youtube, Netflix and other  Streaming sites; minutes)",number,,,
screen_audio_hrs,"Audio (e.g. podcasts, music; hours)",number,,,
screen_audio_mins,"Audio (e.g. podcasts, music; minutes)",number,,,
screen_shopping_food_hrs,Shopping and Food (food delivery apps and shopping apps; hours),number,,,
screen_shopping_food_mins,Shopping and Food (food delivery apps and shopping apps; minutes),number,,,
screen_games_hrs,Games (any gaming apps; hours),number,,,
screen_games_mins,Games (any gaming apps; minutes),number,,,
,,,,,
